Well,Well Position,Sample,Experiment,Temperature,RP5,E3UL,Actine,Hsp70_13,Hsp70_i,HIF,PK,CS,Hsp70_B2,Hsp70_A2,Hsp70_12A,Hsp70_C4,SOD,PEPCK,GAPDH,COXIII,ENO,HK,GLR,LON,AspAT,GST,LCF
63,F3,1,control,18.C,22.613,27.512,21.269,28.837,31.195,24.147,26.026,26.476,30.017,29.838,30.012,23.712,26.35800093,28.364,24.068,17.95223808,25.588,24.309,28.12,28.222,25.60344157,25.97539374,26.41590291
64,F4,1,control,18.C,22.395,27.736,21.1,28.685,31.587,24.208,26.331,26.62,29.93,29.847,29.808,23.657,26.28300017,28.355,24.084,19.03547478,26.485,24.444,27.88,28.67,25.60258136,25.79908415,26.35154324
53,E5,2,control,18.C,22.119,26.992,20.613,27.594,31.453,23.218,25.633,25.247,29.345,29.982,28.256,23.761,26.7079994,28.367,23.694,19.37279701,24.907,24.431,26.899,27.897,25.12672076,24.31059882,25.40211659
54,E6,2,control,18.C,22.189,27.308,20.525,27.566,31.896,23.265,25.823,25.399,29.286,29.88,28.447,23.643,26.67299956,28.324,23.655,19.08063507,24.814,24.347,26.91,27.905,25.32223354,24.43413397,25.39046269
27,C3,3,control,18.C,20.974,24.96,18.513,26.102,29.866,21.636,23.546,23.565,28.055,28.157,26.547,21.767,26.04899979,27.484,22.326,17.58833504,23.387,22.862,25.512,26.149,23.66790581,21.42981529,23.87038612
28,C4,3,control,18.C,20.901,24.892,18.415,26.16,29.707,21.676,23.603,23.5,27.802,28.067,26.636,21.787,26.13899994,27.436,22.324,18.05849838,23.572,22.91,25.407,26.117,23.71961212,21.62084961,23.77124786
71,F11,4,control,18.C,20.696,25.052,18.511,26.322,30.292,21.87,23.938,23.662,28.324,28.26,27.118,22.71,NA,27.641,22.109,18.42406464,23.837,22.578,25.567,26.353,23.59981346,22.57260513,23.90078354
72,F12,4,control,18.C,20.799,25.213,18.612,26.589,30.133,21.974,23.843,23.614,28.351,27.967,27.198,22.567,25.87299919,27.718,22.462,18.21058655,23.884,22.672,25.745,26.415,23.55252457,22.376091,24.10937119
51,E3,5,control,18.C,20.774,25.143,18.516,25.851,29.672,21.877,23.545,23.369,27.779,28.228,26.824,21.563,25.52099991,26.544,21.795,18.14522743,22.83,22.69,24.479,25.901,23.35534286,21.23795319,23.59830284
52,E4,5,control,18.C,20.648,25.239,18.597,25.911,29.611,21.555,23.711,23.446,27.742,28.162,26.79,21.648,25.43099976,26.51,21.677,16.67809677,22.835,22.607,24.435,25.936,23.20773125,21.19054604,23.49167252
23,B11,9,control,18.C,23.457,27.665,21.367,28.985,29.606,24.337,26.386,26.461,30.981,30.093,29.499,23.792,NA,27.692,24.944,19.98417282,25.846,24.541,28.524,29.088,26.39681625,27.98273277,26.58942413
24,B12,9,control,18.C,23.537,27.501,21.376,28.715,29.889,24.521,26.372,26.446,31.025,29.869,29.424,23.77,28.28000069,27.669,24.987,17.14395714,25.991,24.429,28.717,28.826,26.29842186,27.96760941,26.60694885
17,B5,13,control,24.C,22.093,27.245,20.269,28.424,31.148,24.477,25.529,27.273,28.468,29.176,29.372,24.485,27.16900063,28.44,24.24,19.05004311,25.469,23.833,27.11,28.376,25.258255,24.66903877,26.42081833
18,B6,13,control,24.C,21.967,27.306,20.285,28.416,30.975,25.04,25.532,27.113,28.56,28.999,29.316,24.585,27.22500038,28.677,24.249,19.20721817,25.393,24.009,27.385,28.052,25.3296051,24.54906845,26.36687851
91,H7,17,control,24.C,21.809,26.643,19.723,27.981,30.109,23.955,24.923,25.499,27.114,28.399,28.99,23.53,26.26499939,28.224,22.647,19.6765976,23.471,22.827,27.2,27.254,24.50381088,23.91140366,25.81144524
92,H8,17,control,24.C,21.789,26.78,19.856,27.921,30.028,24.004,25,25.396,27.203,27.913,29.126,23.892,26.2670002,28.311,22.539,16.96416092,23.956,22.966,27.178,27.13,24.4592762,23.97410774,25.88235092
67,F7,18,control,24.C,21.808,26.194,20.496,28.02,29.594,23.057,24.901,25.434,27.535,28.222,28.814,22.824,26.6439991,26.244,23.066,18.58645058,24.093,22.413,26.438,26.673,24.56505394,23.33865166,24.99772644
68,F8,18,control,24.C,22.048,26.238,19.936,28.02,29.214,23.133,24.859,25.541,27.688,28.001,28.515,22.696,26.6779995,26.387,23.133,19.09603691,24.303,22.172,26.499,26.745,24.44485664,23.34519386,24.97603989
