Well,Well Position,Sample,Experiment,Temperature,RP5,E3UL,Actine,Hsp70_13,Hsp70_i,HIF,PK,CS,Hsp70_B2,Hsp70_A2,Hsp70_12A,Hsp70_C4,SOD,PEPCK,GAPDH,COXIII,ENO,HK,GLR,LON,AspAT,GST,LCF
71,F11,1,control,18.C,22.079,27.643,16.603,28.5156002,31.44705009,25.577,23.563,25.841,26.821,27.865,29.331,NA,26.559,23.568,21.485,18.40282249,22.604,19.669,28.394,29.12896538,24.65265656,23.468,25.679
72,F12,1,control,18.C,22.098,27.47,16.67,28.86094093,31.79184914,25.559,23.708,25.756,26.954,28.071,29.169,24.259,26.775,24.103,21.466,19.54644394,22.987,19.616,28.415,29.02429771,24.73198318,23.385,25.741
53,E5,2,control,18.C,NA,27.593,16.507,29.44202042,31.90614891,25.509,23.911,26.127,26.455,28.813,29.416,23.364,26.391,26.893,21.389,18.93127946,22.236,19.335,28.835,28.46268109,24.65001561,27.027,25.836
54,E6,2,control,18.C,21.479,27.764,16.551,29.01937485,32.79618835,25.765,23.85,26.182,26.549,28.626,29.302,23.802,26.444,26.886,21.414,18.90518503,22.101,19.502,28.612,28.54368237,24.71719434,27.033,25.714
51,E3,3,control,18.C,21.784,27.44,16.254,28.76715469,26.91259956,25.035,23.189,26.716,25.584,25.238,28.883,23.779,26.175,25.073,20.768,19.03281975,21.776,19.87,28.349,28.49274826,24.37117577,25.171,25.41
52,E4,3,control,18.C,21.79,27.304,16.31,28.50228119,26.96579933,25.368,23.402,26.414,25.933,25.204,28.673,24.091,26.224,25.109,20.851,19.05099297,21.849,19.744,28.43,28.54275703,24.31549644,24.982,25.413
23,B11,4,control,18.C,21.85,27.099,16.039,28.42172241,29.87248421,25.401,23.619,25.747,25.155,26.568,28.478,NA,26.173,27.181,21.621,17.81285095,22.499,20.087,28.101,28.41841888,24.63188744,26.165,25.436
24,B12,4,control,18.C,21.784,27.218,NA,28.46632957,30.03533363,25.497,23.7,25.63,25.275,26.53,28.754,24.185,26.322,27.223,21.651,18.52700233,22.445,19.219,28.167,28.34388161,24.50605202,25.901,25.597
27,C3,5,control,18.C,22.46,27.92,15.888,29.53702545,33.89837646,25.99,22.78,26.436,25.702,28.126,28.579,25.365,25.98,26.785,19.765,18.97218323,21.52,19.451,28.101,28.48324776,24.05591393,25.546,25.785
28,C4,5,control,18.C,22.132,27.825,15.914,29.73248482,33.40374374,25.984,22.711,26.213,NA,28.189,28.735,25.49,25.966,26.836,20.516,19.17866516,21.507,19.309,28.106,28.38155937,23.99652863,25.523,25.794
